ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
157,MANTEQUILLA,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,23.32,26.95,3.04,10.39,25.87,2.16,0,1.96,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6640,3.12,3.09,4740,4500,4645,.,.,8850,8850,8250,8250,7200,7900,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
158,SEBO,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,3.14,24.5,3.14,20.68,37.53,2.16,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6780,3.19,3.16,4840,4600,4720,.,.,8050,8050,7500,7500,7100,8000,8000,8000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
159,MANTECA,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,1.47,23.23,2.94,12.74,43.12,9.8,0.78,1.27,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6900,3.25,3.22,4930,4685,4830,.,.,8300,8300,7750,7750,7800,8400,8300,8300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
160,GRASA MEZCLA 3/5,,,100.0,0,0,0.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,2.02,26.9,4.92,13.1,43.4,10.7,0.84,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6735,3.17,3.14,4800,4570,4710,.,.,8300,8300,7470,7470,7620,8405,8350,8350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
161,GRASA MEZCLA 5/9,,,100.0,0,0,0.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,2.05,27.5,5.26,13,43.7,10.4,0.85,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6735,3.17,3.14,4800,4570,4710,.,.,8270,8270,7445,7445,7590,8375,8330,8330,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
162,GRASA MEZCLA 9/12,,,100.0,0,0,0.0,100.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,1.97,28,5.19,12.5,44.8,9.9,0.79,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6735,3.17,3.14,4800,4570,4710,.,.,8220,8220,7400,7400,7550,8345,8300,8300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
163,POLLO,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,0.98,21.17,5.29,7.25,43.12,18.62,1.18,0.98,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6800,3.2,3.17,4855,4610,4760,.,.,8550,8550,7950,7950,8000,8650,8600,8600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
164,PESCADO CHILENO,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,6.86,18.62,8.82,4.8,15.68,1.96,0.88,35.28,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6370,3,2.97,4550,4320,4460,.,.,8300,8300,7730,7730,7700,8400,8300,8300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
165,PESCADO NORDICO,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,5.88,10.78,7.06,1.18,10.78,0.98,0.49,44.1,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6370,3,2.97,4550,4320,4460,.,.,8300,8300,7730,7730,7700,8400,8300,8300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
166,PESCADO NACIONAL,,,100.0,0,0,0.0,100.0,98,0.0,0.0,0.0,0.0,0.0,0.0,100,4.31,15.39,4.02,4.21,13.23,1.76,1.08,46.06,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6370,3,2.97,4550,4320,4460,.,.,8300,8300,7730,7730,7700,8400,8300,8300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
167,OLEINAS PESCADO,,,100.0,0,0,0.0,100.0,95,0.0,0.0,0.0,0.0,0.0,0.0,100,3.61,14.73,3.8,4.09,12.83,1.71,1.05,44.65,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5740,2.7,2.67,4100,3900,4020,.,.,7720,7720,7170,7170,6300,7600,7600,7600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
168,AC. ALGODîN,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0.99,23.56,0.99,2.48,18.61,49.7,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
169,AC. MAIZ,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,10.59,0.5,2.38,25.74,55.44,0.99,0.5,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170,AC. SOJA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,9.41,0.2,3.96,21.78,53.46,7.23,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6950,3.27,3.24,4960,4700,4830,.,.,8690,8690,8170,8170,8190,8750,8600,8600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
171,AC. COLZA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,4.95,0.3,2.18,56.93,20.3,8.91,4.36,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6950,"3,27","3,24",4950,4690,4820,.,.,8650,8650,8140,8140,8050,8700,8550,8550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
172,AC. GIRASOL,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,6.34,0,4.95,22.37,62.37,0.5,1.09,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6950,3.27,3.24,4900,4660,4780,.,.,8550,8550,8050,8050,8200,8600,8600,8600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
173,AC. GIRASOL ALTO OLEICO,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,4.46,0,2.67,82.96,7.92,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6950,3.27,3.24,4950,4690,4820,.,.,8500,8500,8030,8030,8000,8550,8550,8550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
174,AC. OLIVA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,9.9,0.2,3.47,77.22,6.44,0.3,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6980,3.28,3.25,4980,4700,4830,.,.,8660,8660,8150,8150,7750,8600,8550,8550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
175,AC. PALMA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0.99,42.57,0.3,4.75,39.6,9.9,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6900,3.25,3.22,4940,4700,4780,.,.,8350,8350,7760,7760,6900,8400,8400,8400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
176,AC. COCO,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,71.3,8.91,0,2.48,6.93,1.49,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6780,3.19,3.16,4840,4600,4720,.,.,8700,8700,8100,8100,6600,8700,8600,8600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
177,ESTEARINA PALMA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0.99,57.42,0,5.05,27.82,6.04,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6250,2.94,2.91,4460,4240,4350,.,.,7950,7950,7430,7430,7200,8200,7850,7800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
178,AC. PALMISTE,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,64.4,8.42,0,1.68,16.93,1.09,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
179,AC. LINAZA,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0,5.45,0,3.96,18.81,15.35,53.46,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
180,AC. CACAHUETE,,,100.0,0,0,0.0,100.0,99,0.0,0.0,0.0,0.0,0.0,0.0,100,0.3,8.91,0.5,3.27,49.5,26.73,0,8.32,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
181,LECITINA COMERCIAL SOJA,,,99.0,1,4.5,0.0,92.3,91.4,0.0,0.0,0.0,0.0,0.0,2.2,100,0.28,16.7,0,4.2,16.43,47.1,6.9,0,0.17,1.86,0,1.86,1.75,1.75,0.06,0,0.12,0.9,0,3,115,6,22,95,0,20000,6177,2.91,2.88,4400,4200,4250,.,.,7410,7410,6760,6760,7220,7520,7450,7450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
182,OLEINAS SOJA,,,100.0,0,0,0.0,100.0,95,0.0,0.0,0.0,0.0,0.0,0.0,100,0,9.03,0.18,3.8,20.9,51.3,6.94,1.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6470,3.04,3.01,4615,4390,4500,.,.,8050,8050,7410,7410,7360,8250,8100,8100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
183,OLEINAS GIRASOL,,,100.0,0,0,0.0,100.0,95,0.0,0.0,0.0,0.0,0.0,0.0,100,0,6.08,0,4.75,21.47,59.85,0.48,1.05,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6440,3.03,3,4600,4370,4480,.,.,8100,8100,7450,7450,7400,8300,8100,8100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
184,OLEINAS OLIVA,,,100.0,0,0,0.0,100.0,95,0.0,0.0,0.0,0.0,0.0,0.0,100,0,9.5,0.19,3.33,74.1,6.18,0.29,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6420,3.02,2.99,4575,4350,4460,.,.,8000,8000,7250,7250,7120,8050,8000,8000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
185,OLEINAS COCO,,,100.0,0,0,0.0,100.0,95,0.0,0.0,0.0,0.0,0.0,0.0,100,16.15,8.55,0,2.38,6.65,1.43,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5810,2.74,2.71,4150,3945,4050,.,.,8000,8000,7300,7300,6500,7400,7600,7600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
186,DESTILADOS PALMA,,,100.0,0,0,0.0,100.0,97,0.0,0.0,0.0,0.0,0.0,0.0,100,0.95,40.85,0.29,4.56,38,9.5,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6395,3.01,2.98,4560,4330,4450,.,.,7700,7700,7100,7100,6700,7800,7600,7600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
187,YELLOW GREASE,,,100.0,0,0,0.0,97.0,81.5,0.0,0.0,0.0,0.0,0.0,0.0,97,0.9,15.07,1.22,8.56,36.67,16.3,1.63,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6420,3.02,2.99,4560,4300,4450,.,.,8090,8090,7540,7540,7050,8100,8000,8000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
188,GRASOLEINAS >50,,,100.0,0,0,0.0,96.0,81.6,0.0,0.0,0.0,0.0,0.0,0.0,96,0.82,8.98,0.82,4.08,20.4,40.8,1.63,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6050,2.85,2.82,4320,4100,4200,.,.,8000,8000,7360,7360,7300,8100,7900,7900,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
189,GRASOLEINAS >35,,,100.0,0,0,0.0,94.0,77.1,0.0,0.0,0.0,0.0,0.0,0.0,94,1.54,13.87,1.54,6.17,25.44,26.98,1.16,1.54,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5790,2.72,2.7,4130,3930,4050,.,.,7000,7000,6500,6500,6750,7050,7050,7050,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
190,GRASOLEINAS <20,,,100.0,0,0,0.0,93.0,74.4,0.0,0.0,0.0,0.0,0.0,0.0,93,2.23,18.6,1.86,7.44,28.27,13.39,1.12,2.23,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5720,2.69,2.66,4080,3880,4000,.,.,6520,6520,6000,6000,6100,6550,6550,6550,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
191,JABON PALMA,,,100.0,0,16,0.0,84.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,100,1.68,35.19,0,4.15,30.88,6.7,0,0,9.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6170,2.91,2.88,4400,4180,4300,.,.,6400,6400,5850,5850,5000,6600,6450,6450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
192,JABON MEZCLA,,,100.0,0,16,0.0,84.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,100,2.18,31.9,1,16.8,16.8,2.5,0.8,10.1,9.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6050,2.85,2.82,4320,4100,4200,.,.,6350,6350,5800,5800,4900,6440,6400,6400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
193,HIDROGENADA >55,,,100.0,0,0,0.0,98.0,93.1,0.0,0.0,0.0,0.0,0.0,0.0,98,1.86,41.9,0,37.24,4.84,1.86,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6490,3.06,3.02,4640,4400,4540,.,.,6900,6900,6250,6250,5100,6820,6800,6900,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
194,HIDROGENADA >90,,,100.0,0,0,0.0,98.5,93.6,0.0,0.0,0.0,0.0,0.0,0.0,98.5,6.55,28.17,0,21.05,1.03,1.03,0,29.55,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6080,2.86,2.83,4340,4125,4255,.,.,6600,6600,6000,6000,5000,6750,6750,6750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
195,GLICERINA-85,,,90.7,9.3,4.5,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,85.3,99.5,.,.,.,.,.,.,.,.,0.04,0.24,0,0,0,0,1.6,2.9,0.01,0,0,0,0,0,0,0,0,0,3000,1.29,1.3,1920,2170,1370,.,.,3580,3510,2880,2880,3480,3540,3580,3580,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
196,CARBONATO CALCICO,,,98.0,2,98,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,0,0,38.6,0.0,0,0,0,0,0.07,0.02,0.3,0.07,0.07,12,620,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,CONCHILLA OSTRAS,,,99.7,0.3,98.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,37.3,0.01,0,0,0,0,0.55,0.1,0.32,0.05,0.08,6,300,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,CONCHILLA MOLUSCOS,,,99.0,1,96.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,37.5,0.01,0,0,0,0,0.3,0.05,0.22,0.05,0.08,8,400,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,ALGAS MARINAS MAERL,,,99.5,0.5,97,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,34.0,0.04,0,0,0,0,0.5,0.5,3.5,0.06,.,9,3000,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,CARBONATO DOLOMITICO,,,99.5,0.5,98,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,21.1,0.01,0,0,0,0,0.0,0,12.8,.,0.1,.,.,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,HARINA HUESOS DESGELATINIZADOS,,,97.5,2.5,84,8.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,32.5,15.0,0,.,.,.,0.45,0.08,0.4,0.1,0.35,15,840,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,FOSFATO ROCA DEFLOURINADO,,,99.4,0.6,99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,32.0,18.0,0,13,10.8,11.5,5.3,0.01,0.65,0.09,0.3,20,3200,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,FOSFATO BICALCICO ANHIDRO,,,99.7,0.3,88,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,27.0,19.0,0,14.3,12.2,12.4,0.18,0.3,0.7,0.14,0.5,15,.,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,FOSFATO BICALCICO DIHIDRATADO,,,98.0,2,80,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,25.0,17.7,0,14.9,14,12.74,0.08,0.3,0.6,0.1,0.5,14,4000,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
